team_id,team_name,conference
1610612737,Atlanta Hawks,East
1610612738,Boston Celtics,East
1610612739,Cleveland Cavaliers,East
1610612740,New Orleans Pelicans,West
1610612741,Chicago Bulls,East
1610612742,Dallas Mavericks,West
1610612743,Denver Nuggets,West
1610612744,Golden State Warriors,West
1610612745,Houston Rockets,West
1610612746,LA Clippers,West
1610612747,Los Angeles Lakers,West
1610612748,Miami Heat,East
1610612749,Milwaukee Bucks,East
1610612750,Minnesota Timberwolves,West
1610612751,Brooklyn Nets,East
1610612752,New York Knicks,East
1610612753,Orlando Magic,East
1610612754,Indiana Pacers,East
1610612755,Philadelphia 76ers,East
1610612756,Phoenix Suns,West
1610612757,Portland Trail Blazers,West
1610612758,Sacramento Kings,West
1610612759,San Antonio Spurs,West
1610612760,Oklahoma City Thunder,West
1610612761,Toronto Raptors,East
1610612762,Utah Jazz,West
1610612763,Memphis Grizzlies,West
1610612764,Washington Wizards,East
1610612765,Detroit Pistons,East
1610612766,Charlotte Hornets,East
